Abbrev,Full,type
LAT,Latitude,envi
LONG,Longitude,envi
ELEVATION,Elevation,envi
MAT,Mean annual temperature (C),envi
MWMT,Mean warmest month temperature (C),envi
MCMT,Mean coldest month temperature (C),envi
TD,Temperature difference (MWMT - MCMT),envi
MAP,Mean annual precipitation (mm),envi
MSP,May to September precipitation (mm),envi
AHM,Annual heat-moisture index (MAT+10)/(MAP/1000)),envi
SHM,Summer heat-moisture index ((MWMT)/(MSP/1000)),envi
DD_0,Degree-days below 0C,envi
DD5,Degree-days above 5C,envi
NFFD,Number of frost-free days,envi
bFFP,Day of the year frost-free period begins,envi
eFFP,Day of the year frost-free period ends,envi
FFP,Frost-free period (days),envi
PAS,Precipitation as snow (mm),envi
EMT,Extreme minimum temperature over 30 years,envi
EXT,Extreme maximum temperature over 30 years,envi
Eref,Hargreaves reference evaporation (mm),envi
CMD,Hargreaves climatic moisture deficit (mm),envi
BS,Budset,pheno
BB,Budbreak,pheno
HS1,Height (season 1),pheno
HS2,Height (season 2),pheno
DIAM,Diameter,pheno
SHWT,Shoot weight,pheno
RTWT,Root weight,pheno
MGR,Maximum growth rate,pheno
LGD,Linear growth (days),pheno
D05G,days to 5% growth,pheno
D95G,days to 95% growth,pheno
5D95,Days from 5% to 95% growth,pheno
FCI,Fall cold injury,pheno
WCI,Winter cold injury,pheno
SCI,Spring cold injury,pheno
RSW,Root:shoot weight,pheno
RWSW,Root weight + shoot weight,pheno
