"Environment","Phenotype","pine_correlation","spruce_correlation"
"AHM","BudBreakS02_day",0,-0.14
"AHM","BudSet1S01_day",0.13,0.45
"AHM","ColdInjuryFallS02_Mean",-0.06,-0.4
"AHM","ColdInjuryMidWinterS02_Mean",-0.12,-0.51
"AHM","ColdInjurySpringS02_Mean",-0.11,-0.26
"AHM","FinalRootWeightS02_g",0.21,-0.01
"AHM","FinalShootWeightS02_g",0.22,0.13
"AHM","FinalStemDiamS02_mm",0.17,-0.03
"AHM","Gth5.95pctS02_Days",-0.04,-0.02
"AHM","Gth5pctS02_Day",0.06,0.14
"AHM","Gth95pctS02_Day",0,0.01
"AHM","HtFinalS01_mm",0.22,0.05
"AHM","HtFinalS02_mm",0.21,0.15
"AHM","LinearGthS02_Days",-0.09,-0.13
"AHM","MaxGthRateS03_mm_Day",0.13,0.15
"AHM","RootShoot_Ratio",0.03,-0.42
"AHM","TotalWeight",0.22,0.1
"bFFP","BudBreakS02_day",-0.24,0.19
"bFFP","BudSet1S01_day",-0.11,-0.41
"bFFP","ColdInjuryFallS02_Mean",-0.03,0.27
"bFFP","ColdInjuryMidWinterS02_Mean",-0.07,0.28
"bFFP","ColdInjurySpringS02_Mean",0.09,0.11
"bFFP","FinalRootWeightS02_g",-0.1,-0.02
"bFFP","FinalShootWeightS02_g",-0.18,-0.16
"bFFP","FinalStemDiamS02_mm",-0.17,0.05
"bFFP","Gth5.95pctS02_Days",-0.03,-0.08
"bFFP","Gth5pctS02_Day",-0.17,-0.16
"bFFP","Gth95pctS02_Day",-0.18,-0.13
"bFFP","HtFinalS01_mm",-0.25,-0.07
"bFFP","HtFinalS02_mm",-0.27,-0.19
"bFFP","LinearGthS02_Days",0.05,0.07
"bFFP","MaxGthRateS03_mm_Day",-0.14,-0.11
"bFFP","RootShoot_Ratio",0.09,0.33
"bFFP","TotalWeight",-0.15,-0.13
"CMD","BudBreakS02_day",-0.08,-0.15
"CMD","BudSet1S01_day",0.4,0.26
"CMD","ColdInjuryFallS02_Mean",0.14,0
"CMD","ColdInjuryMidWinterS02_Mean",0.11,-0.18
"CMD","ColdInjurySpringS02_Mean",0,0.07
"CMD","FinalRootWeightS02_g",0.14,0.27
"CMD","FinalShootWeightS02_g",0.2,0.37
"CMD","FinalStemDiamS02_mm",0.17,0.23
"CMD","Gth5.95pctS02_Days",0.07,0.27
"CMD","Gth5pctS02_Day",0.04,0.13
"CMD","Gth95pctS02_Day",0.13,0.32
"CMD","HtFinalS01_mm",0.21,0.24
"CMD","HtFinalS02_mm",0.28,0.39
"CMD","LinearGthS02_Days",-0.01,0.08
"CMD","MaxGthRateS03_mm_Day",0.12,0.08
"CMD","RootShoot_Ratio",-0.08,-0.27
