"Environment","Phenotype","pine_correlation","spruce_correlation"
"AHM","BudBreakS02_day",0,-0.18
"AHM","BudSet1S01_day",0.13,0.43
"AHM","ColdInjuryFallS02_Mean",-0.06,-0.41
"AHM","ColdInjuryMidWinterS02_Mean",-0.12,-0.45
"AHM","ColdInjurySpringS02_Mean",-0.11,-0.23
"AHM","FinalRootWeightS02_g",0.21,-0.03
"AHM","FinalShootWeightS02_g",0.22,0.14
"AHM","FinalStemDiamS02_mm",0.17,-0.06
"AHM","Gth5.95pctS02_Days",-0.04,-0.01
"AHM","Gth5pctS02_Day",0.06,0.17
"AHM","Gth95pctS02_Day",0,0.03
"AHM","HtFinalS01_mm",0.22,0.04
"AHM","HtFinalS02_mm",0.21,0.13
"AHM","LinearGthS02_Days",-0.09,-0.08
"AHM","MaxGthRateS03_mm_Day",0.13,0.14
"AHM","RootShoot_Ratio",0.03,-0.37
"AHM","TotalWeight",0.22,0.1
"bFFP","BudBreakS02_day",-0.24,0.19
"bFFP","BudSet1S01_day",-0.11,-0.42
"bFFP","ColdInjuryFallS02_Mean",-0.03,0.33
"bFFP","ColdInjuryMidWinterS02_Mean",-0.07,0.32
"bFFP","ColdInjurySpringS02_Mean",0.09,0.14
"bFFP","FinalRootWeightS02_g",-0.1,0.05
"bFFP","FinalShootWeightS02_g",-0.18,-0.11
"bFFP","FinalStemDiamS02_mm",-0.17,0.09
"bFFP","Gth5.95pctS02_Days",-0.03,-0.03
"bFFP","Gth5pctS02_Day",-0.17,-0.22
"bFFP","Gth95pctS02_Day",-0.18,-0.08
"bFFP","HtFinalS01_mm",-0.25,-0.05
"bFFP","HtFinalS02_mm",-0.27,-0.15
"bFFP","LinearGthS02_Days",0.05,0.05
"bFFP","MaxGthRateS03_mm_Day",-0.14,-0.11
"bFFP","RootShoot_Ratio",0.09,0.37
"bFFP","TotalWeight",-0.15,-0.07
"CMD","BudBreakS02_day",-0.08,-0.16
"CMD","BudSet1S01_day",0.4,0.25
"CMD","ColdInjuryFallS02_Mean",0.14,-0.04
"CMD","ColdInjuryMidWinterS02_Mean",0.11,-0.13
"CMD","ColdInjurySpringS02_Mean",0,0.08
"CMD","FinalRootWeightS02_g",0.14,0.22
"CMD","FinalShootWeightS02_g",0.2,0.32
"CMD","FinalStemDiamS02_mm",0.17,0.17
"CMD","Gth5.95pctS02_Days",0.07,0.25
"CMD","Gth5pctS02_Day",0.04,0.16
"CMD","Gth95pctS02_Day",0.13,0.28
"CMD","HtFinalS01_mm",0.21,0.2
"CMD","HtFinalS02_mm",0.28,0.33
"CMD","LinearGthS02_Days",-0.01,0.15
"CMD","MaxGthRateS03_mm_Day",0.12,0.09
"CMD","RootShoot_Ratio",-0.08,-0.25
"CMD","TotalWeight",0.18,0.29
"DD0","BudBreakS02_day",0,-0.2
"DD0","BudSet1S01_day",-0.33,0.26
"DD0","ColdInjuryFallS02_Mean",-0.37,-0.75
"DD0","ColdInjuryMidWinterS02_Mean",-0.3,-0.55
"DD0","ColdInjurySpringS02_Mean",-0.07,-0.44
"DD0","FinalRootWeightS02_g",0.03,-0.42
"DD0","FinalShootWeightS02_g",-0.1,-0.35
"DD0","FinalStemDiamS02_mm",-0.05,-0.35
"DD0","Gth5.95pctS02_Days",-0.09,-0.48
"DD0","Gth5pctS02_Day",-0.04,0.04
"DD0","Gth95pctS02_Day",-0.17,-0.48
"DD0","HtFinalS01_mm",-0.19,-0.24
"DD0","HtFinalS02_mm",-0.19,-0.27
"DD0","LinearGthS02_Days",-0.04,-0.44
"DD0","MaxGthRateS03_mm_Day",-0.05,0.18
"DD0","RootShoot_Ratio",0.21,-0.11
"DD0","TotalWeight",-0.06,-0.38
"DD5","BudBreakS02_day",0.18,-0.16
"DD5","BudSet1S01_day",0.24,0.4
"DD5","ColdInjuryFallS02_Mean",0.12,-0.15
"DD5","ColdInjuryMidWinterS02_Mean",0.1,-0.21
"DD5","ColdInjurySpringS02_Mean",-0.11,-0.02
"DD5","FinalRootWeightS02_g",0.11,0.08
"DD5","FinalShootWeightS02_g",0.22,0.24
"DD5","FinalStemDiamS02_mm",0.22,0.03
"DD5","Gth5.95pctS02_Days",0.04,0.19
"DD5","Gth5pctS02_Day",0.15,0.24
"DD5","Gth95pctS02_Day",0.19,0.25
"DD5","HtFinalS01_mm",0.3,0.13
"DD5","HtFinalS02_mm",0.33,0.27
"DD5","LinearGthS02_Days",-0.05,0.08
"DD5","MaxGthRateS03_mm_Day",0.16,0.07
"DD5","RootShoot_Ratio",-0.14,-0.38
"DD5","TotalWeight",0.19,0.2
"eFFP","BudBreakS02_day",0.12,0.02
"eFFP","BudSet1S01_day",0.21,0.06
"eFFP","ColdInjuryFallS02_Mean",0.22,0.27
"eFFP","ColdInjuryMidWinterS02_Mean",0.24,0.14
"eFFP","ColdInjurySpringS02_Mean",0.06,0.23
"eFFP","FinalRootWeightS02_g",-0.01,0.28
"eFFP","FinalShootWeightS02_g",0.09,0.31
"eFFP","FinalStemDiamS02_mm",0.07,0.19
"eFFP","Gth5.95pctS02_Days",0.09,0.33
"eFFP","Gth5pctS02_Day",0.12,0.11
"eFFP","Gth95pctS02_Day",0.23,0.37
"eFFP","HtFinalS01_mm",0.16,0.2
"eFFP","HtFinalS02_mm",0.19,0.3
"eFFP","LinearGthS02_Days",0.03,0.24
