"Environment" "Phenotype" "pine_correlation" "spruce_correlation" "pine_slope_bayenv" "pine_score2_bayenv" "pine_score1_bayenv" "spruce_slope_bayenv" "spruce_score2_bayenv" "spruce_score1_bayenv"
"190" "Latitude" "ColdInjuryFallS02_Mean" -0.42 -0.74 0.573529454571591 0.622 0.000242291395869153 0.561280176194113 0.659 0.000298660106711302
"36" "CMD" "BudSet_day" 0.4 0.33 0.341578904369522 0.591 0.000146898169748563 0.336745561094695 0.5953 0.000156483581799374
"275" "MCMT" "ColdInjuryFallS02_Mean" 0.38 0.76 0.50275836332048 0.6146 0.000212393771404506 0.541897288890252 0.6575 0.000288344348369616
"342" "SHM" "BudSet_day" 0.37 0.25 0.289611027532568 0.5794 0.000124549328509179 0.267232533785188 0.5751 0.000124181228771941
"191" "Latitude" "ColdInjuryMidWinterS02_Mean" -0.37 -0.62 0.514122938980181 0.6076 0.00022558865162894 0.385807974876654 0.6123 0.000202405377199645
"54" "DD0" "ColdInjuryFallS02_Mean" -0.37 -0.74 0.465354773020157 0.6053 0.000196592431211876 0.556727889661871 0.6636 0.000296236278516543
"121" "EMT" "BudSet_day" 0.36 0.27 0.338502662923548 0.5827 0.000145572125138393 0.405501780759276 0.6037 0.000188435948739464
"122" "EMT" "ColdInjuryFallS02_Mean" 0.35 0.73 0.45401340937956 0.6004 0.000191801276199607 0.500521785736338 0.6465 0.000266331999818248
"276" "MCMT" "ColdInjuryMidWinterS02_Mean" 0.34 0.61 0.47200085571457 0.6068 0.000207106596854764 0.211483899912459 0.566 0.000110950926470907
"223" "log(MSP)" "BudSet_day" -0.34 -0.19 0.294912074620398 0.5792 0.000126828529020229 0.19022248486392 0.5539 8.83952540760281e-05
"115" "Elevation" "HtFinalS02_mm" -0.34 -0.19 0.393005396175896 0.591 0.00015657482755952 0.324799743337506 0.5866 0.000151408082041229
"155" "EXT" "BudSet_day" 0.33 0.3 0.277000629189503 0.5784 0.00011912606528439 0.304906690488564 0.5899 0.000141689419843498
"81" "DD5" "HtFinalS02_mm" 0.33 0.27 0.306596209313203 0.5858 0.000122145797877257 0.357205473229401 0.6022 0.000166514304379387
"53" "DD0" "BudSet_day" -0.33 -0.33 0.315067006266727 0.5731 0.000135493383414682 0.365288324915567 0.5929 0.000169748437178048
"360" "TD" "ColdInjuryFallS02_Mean" -0.32 -0.7 0.474991136094176 0.6087 0.000200663076965836 0.478286227444649 0.6375 0.000254495664690467
"258" "MAT" "ColdInjuryFallS02_Mean" 0.32 0.63 0.379216690565472 0.5879 0.000160202965498163 0.508809844568743 0.6544 0.00027074033610548
"166" "EXT" "HtFinalS02_mm" 0.32 0.26 0.299073520498602 0.584 0.000119147738646475 0.286466372388486 0.5835 0.000133538714713583
"148" "Eref" "HtFinalS01_mm" 0.32 0.23 0.335548272838164 0.588 0.000129966014903161 0.265975359556939 0.5734 0.000114618848599727
"123" "EMT" "ColdInjuryMidWinterS02_Mean" 0.32 0.59 0.443568822284173 0.5992 0.000194631704766691 0.207567123034233 0.5625 0.000108898183033169
"302" "MWMT" "HtFinalS02_mm" 0.31 0.22 0.29467448271492 0.5836 0.000117395997513517 0.309086559972624 0.5857 0.000144083273570477
"80" "DD5" "HtFinalS01_mm" 0.31 0.13 0.282124249508883 0.5765 0.000109273614464529 0.21399927797107 0.5574 9.22210362745227e-05
"319" "NFFD" "HtFinalS02_mm" 0.3 0.33 0.229868400005982 0.5623 9.15784757116174e-05 0.3472218161285 0.603 0.000161860344859396
"274" "MCMT" "BudSet_day" 0.3 0.26 0.263298578004896 0.5576 0.000113230717605279 0.305464539055152 0.5757 0.000141948560148628
"55" "DD0" "ColdInjuryMidWinterS02_Mean" -0.3 -0.55 0.420454056854641 0.5934 0.000184489034879076 0.186972081206886 0.5598 9.80921029488537e-05
"301" "MWMT" "HtFinalS01_mm" 0.29 0.1 0.252082624012474 0.5699 9.76377752818101e-05 0.175088277152831 0.5457 7.54526350645515e-05
"257" "MAT" "BudSet_day" 0.29 0.42 0.300438887229244 0.576 0.000129203495358219 0.454031402956179 0.6237 0.000210986957307168
"165" "EXT" "HtFinalS01_mm" 0.29 0.13 0.289647862489771 0.579 0.000112187715102591 0.158774339531439 0.543 6.84213920640721e-05
"361" "TD" "ColdInjuryMidWinterS02_Mean" -0.28 -0.62 0.446161762515898 0.6003 0.000195767707332739 0.196478400257698 0.5611 0.000103077696508776
"47" "CMD" "HtFinalS02_mm" 0.28 0.34 0.261361545558196 0.5708 0.000104121770776933 0.359831035770951 0.6052 0.000167738217755494
"308" "NFFD" "BudSet_day" 0.27 0.37 0.197361824095191 0.5562 8.487596972706e-05 0.369049976975378 0.6092 0.000171495761264353
"267" "MAT" "HtFinalS01_mm" 0.27 0.24 0.304113302099968 0.5727 0.000117790468739869 0.243835858395793 0.5626 0.000105077820130678
"149" "Eref" "HtFinalS02_mm" 0.27 0.31 0.260159395936168 0.5711 0.000103645037277241 0.35450214882933 0.6029 0.000165254159040323
"30" "bFFP" "HtFinalS02_mm" -0.27 -0.14 0.234927981576863 0.563 9.35965449036109e-05 0.245726676054286 0.5677 0.000114547510944825
"353" "SHM" "HtFinalS02_mm" 0.26 0.29 0.243212949636048 0.5669 9.68919814972088e-05 0.321127844751466 0.5923 0.000149696401342835
"318" "NFFD" "HtFinalS01_mm" 0.26 0.21 0.227889636666881 0.5586 8.82672025997821e-05 0.225902271049499 0.5636 9.73504118499886e-05
"268" "MAT" "HtFinalS02_mm" 0.26 0.31 0.216937323036623 0.5573 8.64260392016848e-05 0.307916916667732 0.5826 0.000143538072967102
"208" "log(MAP)" "ColdInjuryMidWinterS02_Mean" 0.26 0.62 0.32710164065665 0.5884 0.000143523511778716 0.371857145836926 0.6188 0.000195086519250784
"183" "FFP" "HtFinalS02_mm" 0.26 0.22 0.206266878027507 0.5555 8.2176586094964e-05 0.283976130817838 0.5809 0.000132377823956802
"139" "Eref" "ColdInjuryFallS02_Mean" 0.26 0.31 0.270281884925507 0.5675 0.000114182911244481 0.323394929549297 0.6 0.000172081962460309
"138" "Eref" "BudSet_day" 0.26 0.42 0.262672630909136 0.5694 0.00011296354724684 0.422521557732669 0.6237 0.000196344399124416
"29" "bFFP" "HtFinalS01_mm" -0.26 -0.04 0.190016188047017 0.5511 7.35978482952723e-05 0.114874631418115 0.5298 4.95048125299439e-05
"207" "log(MAP)" "ColdInjuryFallS02_Mean" 0.25 0.67 0.300745921901703 0.5783 0.00012705147369974 0.251444226871242 0.5847 0.000133798856390658
"104" "Elevation" "BudSet_day" -0.25 -0.15 0.213026829791517 0.5561 9.16116530796009e-05 0.23218110714083 0.5605 0.000107892918208642
"182" "FFP" "HtFinalS01_mm" 0.24 0.11 0.192011623243089 0.55 7.4370757234603e-05 0.15931302430893 0.5428 6.86548525544773e-05
