Phenotype_PE,Phenotype_GWAS,Abb
BudBreakS02_day,Budbreak_p,BB
BudSet_day,Budset_p,BS
ColdInjuryFallS02_Mean,Fall_cold_injury_p,FCI
ColdInjuryMidWinterS02_Mean,Winter_cold_injury_p,WCI
ColdInjurySpringS02_Mean,Spring_cold_injury_p,SCI
FinalRootWeightS02_g,Root_weight_p,RTWT
FinalShootWeightS02_g,Shoot_weight_p,SHWT
FinalStemDiamS02_mm,Diameter_p,DIAM
Gth5.95pctS02_Days,X5_95_growth_days_p,5D95
Gth5pctS02_Day,X5_growth_complete_days_p,D05G
Gth95pctS02_Day,X95_growth_complete_days_p,D95G
HtFinalS01_mm,Height_season_1_p,HS1
HtFinalS02_mm,Height_season_2_p,HS2
LinearGthS02_Days,Linear_growth_days_p,LGD
MaxGthRate_mm_Day,Max_growth_rate_p,MGR
RootShoot_Ratio,root_wt__shoot_wt_p,RSW
TotalWeight,root_wt__shoot_wt_p_1,RWSW
