"","index","env","n","binom.raw.P","binom.raw.est","binom.bay.P","binom.bay.est","binom.raw.sig","binom.bay.sig"
"1",1,"LAT",59,-8.04,0.86,-8.87,0.88,TRUE,TRUE
"2",2,"LONG",43,-0.12,0.53,0,0.51,FALSE,FALSE
"3",3,"ELEVATION",12,-1.41,0.17,-0.84,0.75,FALSE,FALSE
"4",4,"MAT",76,-19.11,0.97,-19.11,0.97,TRUE,TRUE
"5",5,"MWMT",10,-0.12,0.4,0,0.5,FALSE,FALSE
"6",6,"MCMT",84,-21.43,0.98,-21.43,0.98,TRUE,TRUE
"7",7,"TD",49,-14.45,1,-14.45,1,TRUE,TRUE
"8",8,"MAP",18,-0.62,0.33,0,0.5,FALSE,FALSE
"9",9,"MSP",12,-3.31,0,-3.31,0,TRUE,TRUE
"10",10,"AHM",81,-24.08,0,-17.84,0.05,TRUE,TRUE
"11",11,"SHM",16,-3.29,0.06,-2.38,0.12,TRUE,FALSE
"12",12,"DD_0",79,-21.58,0.99,-21.58,0.99,TRUE,TRUE
"13",13,"DD5",9,-0.29,0.67,-0.29,0.67,FALSE,FALSE
"14",14,"NFFD",28,-6.67,0.96,-6.67,0.96,TRUE,TRUE
"15",15,"bFFP",9,0,0.44,-0.75,0.78,FALSE,FALSE
"16",16,"eFFP",53,-13.92,0.98,-11.26,0.94,TRUE,TRUE
"17",17,"FFP",11,-1.18,0.82,-1.18,0.82,FALSE,FALSE
"18",18,"PAS",7,-0.9,0.86,-0.9,0.86,FALSE,FALSE
"19",19,"EMT",86,-25.59,1,-25.59,1,TRUE,TRUE
"20",20,"EXT",33,-4.96,0.12,-4.18,0.15,TRUE,TRUE
"21",21,"Eref",100,-5.78,0.26,-4.9,0.28,TRUE,TRUE
"22",22,"CMD",119,-33.44,0.01,-28.61,0.03,TRUE,TRUE
