spruce_tcontig pine_tcontig
comp102107_c0_seq1 comp33533_c0_seq1
comp53422_c0_seq1 comp33533_c0_seq1
comp87986_c0_seq1 comp51227_c0_seq1
comp5885_c0_seq1 comp7689_c0_seq1
comp10747_c0_seq1 comp11579_c0_seq1
comp10574_c0_seq1 comp10479_c0_seq1
comp2058_c0_seq1 comp1063_c0_seq1
comp11950_c0_seq1 comp13478_c0_seq1
comp1229_c0_seq1 comp1486_c0_seq1
comp1566_c2_seq1 comp15605_c0_seq1
comp20162_c0_seq1 comp16230_c0_seq1
comp19126_c0_seq1 comp17039_c0_seq1
comp20822_c0_seq1 comp18993_c0_seq1
comp24975_c0_seq1 comp27462_c0_seq1
comp2251_c0_seq1 comp3065_c0_seq1
comp50742_c0_seq1 comp33194_c0_seq1
comp26059_c1_seq1 comp35710_c0_seq1
comp4276_c0_seq1 comp3879_c0_seq1
comp48320_c0_seq1 comp40559_c0_seq1
comp4946_c1_seq1 comp4611_c0_seq1
comp424_c0_seq1 comp506_c0_seq1
comp16175_c0_seq1 comp52069_c0_seq1
comp4752_c0_seq1 comp7786_c0_seq1
comp6497_c0_seq1 comp8237_c0_seq1
comp7656_c0_seq1 comp8622_c1_seq1
comp10806_c0_seq1 comp12267_c0_seq1
comp1566_c2_seq1 comp15605_c0_seq1
comp4276_c0_seq1 comp3879_c0_seq1
comp4752_c0_seq1 comp7786_c0_seq1
comp4946_c1_seq1 comp4611_c0_seq1
