pine	spruce
comp24906_c2_seq1	comp8080_c1_seq1
comp10006_c0_seq1	comp6335_c1_seq1
comp10073_c0_seq1	comp8179_c1_seq1
comp19956_c0_seq1	comp18637_c0_seq1
comp1995_c0_seq1	comp1549_c1_seq1
comp10744_c0_seq1	comp5071_c0_seq1
comp1997_c0_seq1	comp2796_c0_seq1
comp19981_c0_seq1	comp19512_c0_seq1
comp19983_c0_seq1	comp17837_c0_seq1
comp10745_c0_seq1	comp12669_c0_seq1
comp19987_c0_seq1	comp27910_c0_seq1
comp1998_c0_seq1	comp1884_c0_seq1
comp19993_c0_seq1	comp17691_c0_seq1
comp1999_c0_seq1	comp17024_c0_seq1
comp10746_c0_seq1	comp11743_c0_seq1
comp1999_c2_seq1	comp2959_c0_seq1
comp19_c1_seq1	comp121_c0_seq1
comp1_c0_seq1	comp4_c0_seq1
comp20001_c0_seq1	comp18112_c0_seq1
comp20002_c0_seq1	comp20130_c0_seq1
comp20005_c0_seq1	comp23619_c0_seq1
comp20009_c0_seq1	comp21969_c0_seq1
comp2000_c0_seq1	comp2948_c0_seq1
comp20012_c0_seq1	comp6749_c0_seq1
comp20017_c0_seq1	comp19508_c0_seq1
comp10747_c0_seq1	comp8436_c0_seq1
comp20020_c0_seq1	comp17740_c0_seq1
comp20021_c0_seq1	comp24924_c0_seq1
comp2002_c0_seq1	comp1645_c0_seq1
comp20030_c0_seq1	comp18716_c0_seq1
comp10748_c0_seq1	comp11277_c0_seq1
comp20032_c0_seq1	comp18319_c0_seq1
comp20037_c0_seq1	comp46360_c0_seq1
comp20039_c0_seq1	comp15190_c0_seq1
comp2003_c1_seq1	comp968_c0_seq1
comp20044_c0_seq1	comp23224_c0_seq1
comp20051_c0_seq1	comp2913_c17_seq1
comp20052_c0_seq1	comp16324_c0_seq1
comp20056_c0_seq1	comp19601_c0_seq1
comp20057_c0_seq1	comp18023_c0_seq1
comp10750_c0_seq1	comp9912_c0_seq1
comp20065_c0_seq1	comp27168_c0_seq1
comp2006_c0_seq1	comp2239_c0_seq1
comp10751_c0_seq1	comp7468_c0_seq1
comp20075_c0_seq1	comp25683_c0_seq1
comp20076_c0_seq1	comp14631_c0_seq1
comp2007_c0_seq1	comp2382_c0_seq1
comp20080_c0_seq1	comp19943_c0_seq1
comp20081_c0_seq1	comp29196_c0_seq1
comp20083_c0_seq1	comp18100_c1_seq1
comp20083_c1_seq1	comp6697_c0_seq1
comp20088_c1_seq1	comp23227_c0_seq1
comp2008_c0_seq1	comp3745_c1_seq1
comp20093_c0_seq1	comp1228_c1_seq1
comp20097_c0_seq1	comp14715_c0_seq1
comp20099_c0_seq1	comp23776_c0_seq1
comp2009_c0_seq1	comp1447_c0_seq1
comp2010_c2_seq1	comp20615_c0_seq1
comp10754_c0_seq1	comp14268_c0_seq1
comp2011_c0_seq1	comp2023_c0_seq1
comp20123_c0_seq1	comp15276_c0_seq1
comp20126_c0_seq1	comp30000_c0_seq1
comp2012_c0_seq1	comp1154_c0_seq1
comp20135_c0_seq1	comp19549_c0_seq1
comp20136_c0_seq1	comp18862_c2_seq1
comp2013_c0_seq1	comp1649_c0_seq1
comp20143_c0_seq1	comp28246_c0_seq1
comp20148_c0_seq1	comp7621_c0_seq1
comp20151_c0_seq1	comp20183_c0_seq1
comp20152_c1_seq1	comp11615_c0_seq1
comp20154_c0_seq1	comp20504_c0_seq1
comp10758_c0_seq1	comp13932_c0_seq1
comp2015_c0_seq1	comp3525_c0_seq1
comp20161_c0_seq1	comp15683_c1_seq1
comp20167_c3_seq1	comp20932_c2_seq1
comp2016_c0_seq1	comp3695_c0_seq1
comp20170_c0_seq1	comp20012_c0_seq1
comp1075_c0_seq1	comp27977_c0_seq1
comp20174_c0_seq1	comp24758_c0_seq1
comp2017_c0_seq1	comp4699_c0_seq1
comp20188_c0_seq1	comp13933_c1_seq1
comp20189_c0_seq1	comp27975_c1_seq1
comp20192_c0_seq1	comp16360_c0_seq1
comp20194_c0_seq1	comp35287_c0_seq1
comp10762_c0_seq1	comp17979_c0_seq1
comp20197_c0_seq1	comp2234_c3_seq1
comp2019_c0_seq1	comp2353_c0_seq1
comp201_c0_seq1	comp149_c0_seq1
comp20202_c0_seq1	comp13305_c0_seq1
comp10763_c0_seq1	comp5212_c1_seq1
comp20207_c0_seq1	comp22077_c0_seq1
comp2020_c0_seq1	comp10378_c0_seq1
comp2020_c1_seq1	comp2753_c0_seq1
comp2021_c0_seq1	comp3534_c0_seq1
comp20221_c0_seq1	comp49138_c0_seq1
comp20222_c0_seq1	comp32850_c2_seq1
comp20223_c0_seq1	comp21622_c0_seq1
comp20224_c0_seq1	comp23498_c0_seq1
comp2022_c0_seq1	comp5219_c0_seq1
comp20230_c0_seq1	comp19089_c0_seq1
comp10764_c0_seq1	comp10209_c0_seq1
comp20232_c0_seq1	comp24033_c0_seq1
comp202331_c0_seq1	comp9533_c2_seq1
comp20238_c0_seq1	comp6146_c2_seq1
comp2023_c0_seq1	comp1805_c0_seq1
comp20240_c0_seq1	comp23783_c0_seq1
comp20254_c0_seq1	comp2002_c16_seq1
comp20256_c0_seq1	comp14150_c0_seq1
comp10766_c0_seq1	comp8304_c0_seq1
comp20259_c0_seq1	comp20680_c0_seq1
comp2025_c0_seq1	comp3007_c0_seq1
comp20260_c0_seq1	comp15935_c0_seq1
comp20269_c0_seq1	comp32808_c0_seq1
comp20271_c0_seq1	comp24655_c0_seq1
comp10767_c0_seq1	comp7273_c0_seq1
comp202759_c0_seq1	comp114920_c0_seq1
comp20284_c0_seq1	comp17438_c0_seq1
comp20294_c2_seq1	comp51548_c0_seq1
comp10769_c0_seq1	comp13319_c0_seq1
comp20299_c0_seq1	comp52801_c0_seq1
comp2029_c0_seq1	comp1546_c0_seq1
comp202_c0_seq1	comp26_c0_seq1
comp20309_c0_seq1	comp24259_c0_seq1
comp1076_c0_seq1	comp1167_c0_seq1
comp2030_c0_seq1	comp4397_c0_seq1
comp20316_c0_seq1	comp18850_c0_seq1
comp20318_c0_seq1	comp30338_c0_seq1
comp2031_c0_seq1	comp2690_c0_seq1
comp10770_c0_seq1	comp14252_c0_seq1
comp20326_c0_seq1	comp25931_c0_seq1
comp20331_c0_seq1	comp17795_c0_seq1
comp20335_c0_seq1	comp39986_c0_seq1
comp20337_c0_seq1	comp28480_c0_seq1
comp20338_c0_seq1	comp14619_c0_seq1
comp20339_c0_seq1	comp16081_c0_seq1
comp20341_c2_seq1	comp17908_c0_seq1
comp20346_c0_seq1	comp24555_c0_seq1
comp20353_c1_seq1	comp9143_c0_seq1
comp10771_c1_seq1	comp12036_c0_seq1
comp20356_c0_seq1	comp33066_c0_seq1
comp20359_c0_seq1	comp21625_c0_seq1
comp2035_c0_seq1	comp13470_c0_seq1
comp20367_c0_seq1	comp26248_c0_seq1
comp20368_c0_seq1	comp27019_c0_seq1
comp10772_c0_seq1	comp8409_c0_seq1
comp20369_c0_seq1	comp24527_c0_seq1
comp2036_c0_seq1	comp2397_c0_seq1
comp20372_c0_seq1	comp23395_c1_seq1
comp20378_c0_seq1	comp20907_c0_seq1
