"r2a" "r1a" "recomb" "tcontig.x" "tcontig.y"
"13834" "C32530314_45451_50445__1499" "C31343970_1_2364__1150" "9.5367431640625e-07" "comp90150_c0_seq1" "comp1565_c0_seq1"
"13836" "C32530314_45451_50445__1499" "C31343970_1_2364__1126" "0.247542134831461" "comp90150_c0_seq1" "comp1565_c0_seq1"
"13839" "C32530314_45451_50445__1499" "C31343970_1_2364__634" "0.252514367816092" "comp90150_c0_seq1" "comp1565_c0_seq1"
"13843" "C32530314_45451_50445__1499" "C31343970_1_2364__1411" "9.5367431640625e-07" "comp90150_c0_seq1" "comp1565_c0_seq1"
"13844" "C32530314_45451_50445__1499" "C31343970_1_2364__1082" "9.5367431640625e-07" "comp90150_c0_seq1" "comp1565_c0_seq1"
"13873" "C32530314_45451_50445__2805" "C31343970_1_2364__1150" "9.5367431640625e-07" "comp90150_c0_seq1" "comp1565_c0_seq1"
"13874" "C32530314_45451_50445__2805" "C31343970_1_2364__1126" "0.258163623595506" "comp90150_c0_seq1" "comp1565_c0_seq1"
"13881" "C32530314_45451_50445__2805" "C31343970_1_2364__1411" "9.5367431640625e-07" "comp90150_c0_seq1" "comp1565_c0_seq1"
"13885" "C32530314_45451_50445__2805" "C31343970_1_2364__1082" "9.5367431640625e-07" "comp90150_c0_seq1" "comp1565_c0_seq1"
"13887" "C32530314_45451_50445__2805" "C31343970_1_2364__634" "0.264143318965517" "comp90150_c0_seq1" "comp1565_c0_seq1"
"13892" "C32530314_45451_50445__486" "C31343970_1_2364__634" "0.25" "comp90150_c0_seq1" "comp1565_c0_seq1"
"13897" "C32530314_45451_50445__486" "C31343970_1_2364__1126" "0.24501329787234" "comp90150_c0_seq1" "comp1565_c0_seq1"
"13910" "C32530314_45451_50445__486" "C31343970_1_2364__1150" "9.5367431640625e-07" "comp90150_c0_seq1" "comp1565_c0_seq1"
"13913" "C32530314_45451_50445__486" "C31343970_1_2364__1411" "9.5367431640625e-07" "comp90150_c0_seq1" "comp1565_c0_seq1"
"13916" "C32530314_45451_50445__486" "C31343970_1_2364__1082" "9.5367431640625e-07" "comp90150_c0_seq1" "comp1565_c0_seq1"
"17614" "C32549516_106128_111892__1868" "C32530314_45451_50445__2805" "9.5367431640625e-07" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17624" "C32549516_106128_111892__1868" "C31343970_1_2364__1411" "9.5367431640625e-07" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17628" "C32549516_106128_111892__1868" "C31343970_1_2364__1082" "9.5367431640625e-07" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17630" "C32549516_106128_111892__1868" "C31343970_1_2364__1126" "0.24501329787234" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17631" "C32549516_106128_111892__1868" "C32530314_45451_50445__486" "9.5367431640625e-07" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17641" "C32549516_106128_111892__1868" "C31343970_1_2364__634" "0.25" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17643" "C32549516_106128_111892__1868" "C31343970_1_2364__1150" "9.5367431640625e-07" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17647" "C32549516_106128_111892__1868" "C32530314_45451_50445__1499" "9.5367431640625e-07" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17655" "C32549516_106128_111892__1975" "C32530314_45451_50445__1499" "9.5367431640625e-07" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17657" "C32549516_106128_111892__1975" "C31343970_1_2364__634" "0.25" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17663" "C32549516_106128_111892__1975" "C32530314_45451_50445__2805" "9.5367431640625e-07" "comp1565_c0_seq1" "comp24588_c0_seq1"
"17664" "C32549516_106128_111892__1975" "C31343970_1_2364__1082" "9.5367431640625e-07" "comp90150_c0_seq1" "comp24588_c0_seq1"
"17669" "C32549516_106128_111892__1975" "C31343970_1_2364__1411" "9.5367431640625e-07" "comp90150_c0_seq1" "comp24588_c0_seq1"
