contig2	numOutSnps	prop	NumTempOut	NumPrecipOut	Annotation	numTotSnps
comp60064_c0	46	0.613333333	46	1	NA	75
comp1563_c0	19	0.76	16	2	protein_coding acclimation of photosynthesis to environment mutant has Altered acclimation responses; Proteasome maturation factor UMP1 (TAIR:AT5G38650.1).	25
comp73926_c0	13	0.928571429	13	0	NA	14
comp1180_c0	3	0.1875	3	0	NA	16
comp21748_c0	2	0.0625	2	1	" heavy metal atpase 5 The Arabidopsis P-type ATPase HMA5 is involved in Cu detoxification. hma5 mutant plants exhibit Cu hypersensitivity, which is especially dramatic in roots where HMA5 is mostly expressed. heavy metal atpase 5 (HMA5); FUNCTIONS IN: ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism; INVOLVED IN: detoxification of copper ion, response to copper ion; LOCATED IN: integral to membrane, membrane; "	32
comp8237_c0	5	0.11627907	2	0	"protein_coding Transducin/WD40 repeat-like superfamily protein Encodes a protein with similarity to yeast Pfs2p, an mRNA processing factor. Involved in regulation of flowering time; affects FCA mRNA processing. Homozygous mutants are late flowering, null alleles are embryo lethal."	43
comp6762_c0	7	0.152173913	1	7	NA	46
comp19776_c1	2	0.037037037	1	2	NA	54
comp29496_c0	4	0.2	1	2	protein_coding Duplicated homeodomain-like superfamily protein \Putative	20
comp4611_c0	1	0.022727273	1	1	"protein_coding nuclear factor Y, subunit A7 \nuclear"	44
comp1011_c0	2	0.048780488	1	0	protein_coding similar to RCD one 2 Encodes a protein with similarity to RCD1 but without the WWE domain. The protein does have a PARP signature upstream of the C-terminal protein interaction domain. The PARP signature may bind NAD+ and attach the ADP-ribose-moiety from NAD+ to the target molecule. Its presence suggests a role for the protein in ADP ribosylation. similar to RCD one 2 (SRO2); 	41
comp13145_c1	1	0.011764706	1	0	"protein_coding plastid division1 An integral outer envelope membrane protein (as its homolog PDV2), component of the plastid division machinery. Similar to ARC5, PDV1 localized to a discontinuous ring at the division site in wild-type plants. PDV1 and PDV2 are required for localization of ARC5 at the chloroplast division site. Topological analysis showed that the large N-terminal region of PDV1 upstream of the transmembrane helix bearing a putative coiled-coil domain is exposed to the cytosol. Mutation of the conserved PDV1 C-terminal Gly residue did not block PDV1 insertion into the outer envelope membrane but did abolish its localization to the division site. "	85
comp1439_c0	2	0.034482759	1	0	"protein_coding peroxin 14 mutant has a defect in the intracellular transport of thiolase from the cytosol to glyoxysomes (formerly known as ped2) peroxin 14 (PEX14); FUNCTIONS IN: protein transporter activity, protein binding; INVOLVED IN: peroxisome organization, protein targeting to peroxisome; "	58
comp15605_c0	2	0.043478261	1	0	NA	46
comp28687_c0	1	0.083333333	1	0	NA	12
comp31135_c0	1	0.037037037	1	0	protein_coding Pentatricopeptide repeat (PPR-like) superfamily protein Pentatricopeptide repeat (PPR-like) superfamily protein; FUNCTIONS IN: molecular_function unknown; Pentatricopeptide repeat (PPR-like) superfamily protein 	27
comp1565_c0	34	0.267716535	0	24	"protein_coding Insulinase (Peptidase family M16) protein Insulinase (Peptidase family M16) protein; FUNCTIONS IN: metalloendopeptidase activity, ATP binding; INVOLVED IN: proteolysis, response to salt stress; "	127
comp2237_c0	11	0.25	0	9	protein_coding DNA-binding bromodomain-containing protein DNA-binding bromodomain-containing protein; CONTAINS InterPro DOMAIN/s: Bromodomain (InterPro:IPR001487);	44
comp9553_c0	9	0.132352941	0	8	"protein_coding histone acetyltransferase of the GNAT family 2 Encodes an enzyme with histone acetyltransferase activity. Histone H4 is the primary substrate for the enzyme. Prior acetylation of lysine 12 of histone H4 reduces radioactive acetylation by HAG2. HAG2 acetylates histone H4 lysine 12. histone acetyltransferase of the GNAT family 2 (HAG2); FUNCTIONS IN: histone acetyltransferase activity, H4 histone acetyltransferase activity; INVOLVED IN: histone acetylation, chromatin modification, chromatin silencing at telomere; "	68
comp1964_c0	12	0.3	0	7	protein_coding SWIB/MDM2 domain superfamily protein SWIB/MDM2 domain superfamily protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; 	40
comp4147_c0	8	0.114285714	0	7	protein_coding Protein of unknown function (duplicated DUF1399) Protein of unknown function (duplicated DUF1399); 	70
comp6329_c0	8	0.444444444	0	7	NA	18
comp24588_c0	5	0.227272727	0	5	"protein_coding YUCCA 3 YUCCA 3 (YUC3); FUNCTIONS IN: NADP or NADPH binding, oxidoreductase activity, FAD binding, flavin-containing monooxygenase activity; INVOLVED IN: auxin biosynthetic process;"	22
comp4835_c0	8	0.163265306	0	5	NA	49
comp64053_c0	5	0.138888889	0	5	NA	36
