tcontig	focal	ortho	pvalue	mannUstat	numsamp	mean_test_r2	mean_background_r2	q95	q99	pred_quantile	pred_p	emp_p	spruce	qvalue
comp1881_c0_seq1	MCMT	MCMT	0.00415533673584314	539728	92	0.00615464321607375	0.00593320282215071	NA	NA	NA	2.86614027945091	0.0479743031810175	comp2064_c0_seq1	0.339234577251821
comp1881_c0_seq1	MCMT	MCMT	0.00415533673584314	539728	92	0.00615464321607375	0.00593320282215071	NA	NA	NA	2.86614027945091	0.0479743031810175	comp6032_c1_seq1	0.339234577251821
comp1881_c0_seq1	EMT	EMT	0.00397994447478459	540107	92	0.00643316179751243	0.00605362855735853	NA	NA	NA	2.87976494288047	0.0479743031810175	comp2064_c0_seq1	0.31614092565964
comp1881_c0_seq1	EMT	EMT	0.00397994447478459	540107	92	0.00643316179751243	0.00605362855735853	NA	NA	NA	2.87976494288047	0.0479743031810175	comp6032_c1_seq1	0.31614092565964
comp33533_c0_seq1	LAT	LAT	2.18534948627607e-11	207773	23	0.038490559641063	0.00731660036362739	NA	NA	NA	6.69310713369815	0.000310848616723702	comp102107_c0_seq1	0.0195624782199897
comp51227_c0_seq1	Fall_cold_injury_p	Fall_cold_injury_p	0.00454903483115703	285683	46	0.0113706113778365	0.00704865948875669	NA	NA	NA	2.83737103852699	0.0470417573308466	comp87986_c0_seq1	0.727385763133353
comp51227_c0_seq1	Winter_cold_injury_p	Winter_cold_injury_p	4.95207796962428e-14	377838	46	0.00925985815105744	0.00437958377741369	NA	NA	NA	7.53320150842722	0	comp87986_c0_seq1	0.0233136462542693
comp5702_c1_seq1	LAT	LAT	6.72329158846139e-11	239842	28	0.0253558913080099	0.00731660036362739	NA	NA	NA	6.52673626280223	0.000414464822298233	comp6476_c0_seq1	0.0228228912566527
comp6272_c0_seq1	Fall_cold_injury_p	Fall_cold_injury_p	4.14879252785044e-08	249708	32	0.0153020883070137	0.00704865948875669	NA	NA	NA	5.48442879201867	0.00145062687804376	comp10014_c0_seq1	0.126559793951776
comp6272_c0_seq1	Fall_cold_injury_p	Fall_cold_injury_p	4.14879252785044e-08	249708	32	0.0153020883070137	0.00704865948875669	NA	NA	NA	5.48442879201867	0.00145062687804376	comp8058_c0_seq1	0.126559793951776
comp6272_c0_seq1	Winter_cold_injury_p	Winter_cold_injury_p	0.00358326243508788	207643	32	0.00561504546923819	0.00437958377741369	NA	NA	NA	2.91272395926947	0.0398922391462024	comp10014_c0_seq1	0.512900217594031
comp6272_c0_seq1	Winter_cold_injury_p	Winter_cold_injury_p	0.00358326243508788	207643	32	0.00561504546923819	0.00437958377741369	NA	NA	NA	2.91272395926947	0.0398922391462024	comp8058_c0_seq1	0.512900217594031
comp8021_c0_seq1	Winter_cold_injury_p	Winter_cold_injury_p	0.00346382509492162	167249	25	0.0134813433914839	0.00437958377741369	NA	NA	NA	2.92329876135076	0.0390633095016061	comp3905_c0_seq1	0.512900217594031
comp9808_c0_seq1	LAT	LAT	4.16743509615841e-06	216662	29	0.028447002007199	0.00731660036362739	NA	NA	NA	4.60288455195711	0.0086001450626878	comp14791_c0_seq1	0.177692510498213
comp9808_c0_seq1	LAT	LAT	4.16743509615841e-06	216662	29	0.028447002007199	0.00731660036362739	NA	NA	NA	4.60288455195711	0.0086001450626878	comp17701_c0_seq1	0.177692510498213
comp9808_c0_seq1	Fall_cold_injury_p	Fall_cold_injury_p	3.90495929618108e-07	223990	29	0.0152704765740592	0.00704865948875669	NA	NA	NA	5.07356549857794	0.00196870790591652	comp14791_c0_seq1	0.126559793951776
comp9808_c0_seq1	Fall_cold_injury_p	Fall_cold_injury_p	3.90495929618108e-07	223990	29	0.0152704765740592	0.00704865948875669	NA	NA	NA	5.07356549857794	0.00196870790591652	comp17701_c0_seq1	0.126559793951776
comp11579_c0_seq1	EMT	EMT	1.13094914369098e-09	206230	24	0.0309414233232144	0.00605362855735853	NA	NA	NA	6.08977430798503	0.000932545850170996	comp10747_c0_seq1	0.0255265808058797
comp11579_c0_seq1	DD_0	DD_0	3.56463386941639e-09	203589	24	0.0332043606921634	0.00585397037344904	NA	NA	NA	5.90326040392161	0.00113977826132006	comp10747_c0_seq1	0.045393771321973
comp11579_c0_seq1	TD	TD	1.76730238145538e-07	193947	24	0.0201880339474337	0.00594773628856611	NA	NA	NA	5.22231869132052	0.00259040513936382	comp10747_c0_seq1	0.0479610017146502
comp11579_c0_seq1	MCMT	MCMT	2.76042901799677e-09	204184	24	0.0276971029356484	0.00593320282215071	NA	NA	NA	5.94528076473862	0.000932545850170996	comp10747_c0_seq1	0.0269262866393192
comp14068_c0_seq1	LAT	LAT	9.05674777635113e-06	90541	10	0.0386905585456156	0.00731660036362739	NA	NA	NA	4.43860347981928	0.0102580043518806	comp14426_c0_seq1	0.177692510498213
