contig	numOutSnps	numTotSnps	prop	TempGroup	PrecipGroup	BothTempPrecip	SpruceOrthoOut
comp8905_c0_seq1	1	152	0.006578947	FALSE	FALSE	FALSE	FALSE
comp50550_c0_seq1	1	140	0.007142857	FALSE	FALSE	FALSE	FALSE
comp332_c0_seq1	1	116	0.00862069	FALSE	FALSE	FALSE	FALSE
comp1878_c0_seq1	1	107	0.009345794	FALSE	FALSE	FALSE	FALSE
comp11553_c0_seq1	1	100	0.01	FALSE	TRUE	FALSE	FALSE
comp27756_c0_seq1	1	88	0.011363636	FALSE	FALSE	FALSE	FALSE
comp1063_c0_seq1	1	87	0.011494253	FALSE	FALSE	FALSE	TRUE
comp3733_c0_seq1	1	85	0.011764706	FALSE	FALSE	FALSE	FALSE
comp13145_c1_seq1	1	85	0.011764706	TRUE	FALSE	FALSE	FALSE
comp45093_c0_seq1	1	82	0.012195122	FALSE	FALSE	FALSE	FALSE
comp13672_c0_seq1	1	72	0.013888889	FALSE	FALSE	FALSE	FALSE
comp7699_c0_seq1	1	66	0.015151515	FALSE	FALSE	FALSE	FALSE
comp3324_c0_seq1	1	61	0.016393443	FALSE	FALSE	FALSE	FALSE
comp2016_c0_seq1	1	58	0.017241379	FALSE	FALSE	FALSE	FALSE
comp6935_c0_seq1	1	58	0.017241379	FALSE	FALSE	FALSE	FALSE
comp3879_c0_seq1	1	56	0.017857143	FALSE	FALSE	FALSE	TRUE
comp11801_c0_seq1	1	52	0.019230769	FALSE	FALSE	FALSE	FALSE
comp18_c0_seq1	1	51	0.019607843	FALSE	FALSE	FALSE	FALSE
comp5739_c0_seq1	1	49	0.020408163	FALSE	FALSE	FALSE	FALSE
comp3065_c0_seq1	1	49	0.020408163	FALSE	FALSE	FALSE	TRUE
comp31759_c0_seq1	1	48	0.020833333	FALSE	FALSE	FALSE	FALSE
comp54619_c0_seq1	1	47	0.021276596	FALSE	FALSE	FALSE	FALSE
comp67337_c0_seq1	1	46	0.02173913	FALSE	FALSE	FALSE	FALSE
comp4611_c0_seq1	1	44	0.022727273	TRUE	TRUE	TRUE	TRUE
comp563_c0_seq1	1	44	0.022727273	FALSE	FALSE	FALSE	FALSE
comp4328_c0_seq1	1	40	0.025	FALSE	FALSE	FALSE	FALSE
comp16474_c1_seq1	1	39	0.025641026	FALSE	FALSE	FALSE	FALSE
comp10095_c0_seq1	2	76	0.026315789	FALSE	FALSE	FALSE	FALSE
comp1305_c0_seq1	2	76	0.026315789	FALSE	FALSE	FALSE	FALSE
